iter	Passed	Remaining
0	4	852
1	6	608
2	7	516
3	9	465
4	11	435
5	12	404
6	14	405
7	16	397
8	18	395
9	20	391
10	22	384
11	23	375
12	25	365
13	26	357
14	28	349
15	29	343
16	31	336
17	32	329
18	33	322
19	35	319
20	36	314
21	38	311
22	39	307
23	41	306
24	43	303
25	44	299
26	46	296
27	47	294
28	49	290
29	50	287
30	52	284
31	53	281
32	55	278
33	56	277
34	58	277
35	60	275
36	61	273
37	63	271
38	65	268
39	66	265
40	67	262
41	69	259
42	70	258
43	72	256
44	73	253
45	75	252
46	76	250
47	78	248
48	79	245
49	80	242
50	82	240
51	83	239
52	85	236
53	86	234
54	88	232
55	89	230
56	91	228
57	92	226
58	94	224
59	95	222
60	97	221
61	98	219
62	100	217
63	102	216
64	103	215
65	105	214
66	106	212
67	108	210
68	110	208
69	111	207
70	113	205
71	114	203
72	116	202
73	117	200
74	119	199
75	121	197
76	123	197
77	125	196
78	127	194
79	128	193
80	130	191
81	132	190
82	133	188
83	135	186
84	136	184
85	137	182
86	139	181
87	141	180
88	143	178
89	145	177
90	146	175
91	148	173
92	150	172
93	151	171
94	153	169
95	154	167
96	156	166
97	158	164
98	159	162
99	161	161
100	163	160
101	164	158
102	166	156
103	167	154
104	168	152
105	170	150
106	171	148
107	172	147
108	174	145
109	175	143
110	177	142
111	178	140
112	179	138
113	181	136
114	183	135
115	185	133
116	186	132
117	187	130
118	189	129
119	191	127
120	193	126
121	195	124
122	196	123
123	198	121
124	199	119
125	201	118
126	202	116
127	204	115
128	206	113
129	207	111
130	209	110
131	210	108
132	211	106
133	213	105
134	215	103
135	217	102
136	218	100
137	220	99
138	222	97
139	223	95
140	225	94
141	227	92
142	229	91
143	231	89
144	232	88
145	234	86
146	236	85
147	238	83
148	240	82
149	242	80
150	244	79
151	245	77
152	247	76
153	249	74
154	251	72
155	253	71
156	254	69
157	256	68
158	258	66
159	260	65
160	261	63
161	263	61
162	265	60
163	267	58
164	268	56
165	270	55
166	271	53
167	273	52
168	274	50
169	276	48
170	278	47
171	280	45
172	282	44
173	284	42
174	285	40
175	287	39
176	289	37
177	291	35
178	292	34
179	295	32
180	296	31
181	298	29
182	299	27
183	301	26
184	303	24
185	305	22
186	306	21
187	308	19
188	309	18
189	311	16
190	313	14
191	314	13
192	317	11
193	318	9
194	320	8
195	322	6
196	324	4
197	325	3
198	326	1
199	328	0
